elevator,reason,out_of_service,first_missed,estimated_return
EL317,Maintenance,2018-03-29 07:30:00+00:00,2018-03-29 09:20:08.591133+00:00,2018-03-29 10:00:00+00:00
EL201,Under Investigation,2018-03-29 05:43:00+00:00,2018-03-29 08:13:07.528841+00:00,2018-03-29 14:00:00+00:00
EL107,Repair,2018-03-29 06:05:00+00:00,2018-03-29 08:39:08.289691+00:00,2018-03-29 10:00:00+00:00
EL117,Maintenance,2018-03-29 05:35:00+00:00,2018-03-29 09:53:07.831963+00:00,2018-03-29 13:00:00+00:00
EL407,Maintenance,2018-03-29 05:25:00+00:00,2018-03-29 08:53:10.323085+00:00,2018-03-29 10:00:00+00:00
EL404,Maintenance,2018-03-29 05:05:00+00:00,2018-03-29 07:48:08.329183+00:00,2018-03-29 09:00:00+00:00
EL108,Access Improvements,2018-03-29 04:43:00+00:00,2018-03-29 06:07:08.317805+00:00,2018-03-29 10:00:00+00:00
EL134,Access Improvements,2018-03-29 04:20:00+00:00,2018-03-29 08:21:09.077135+00:00,2018-03-29 10:00:00+00:00
EL309,Repair,2018-03-29 04:13:00+00:00,2018-03-29 05:16:08.134078+00:00,2018-03-29 10:00:00+00:00
EL107,Access Improvements,2018-03-29 04:12:00+00:00,2018-03-29 04:43:08.459564+00:00,2018-03-29 09:00:00+00:00
EL319,Maintenance,2018-03-29 04:03:00+00:00,2018-03-29 08:42:08.858710+00:00,2018-03-29 10:00:00+00:00
EL430,Modifications In Progress,2018-03-29 03:55:00+00:00,2018-03-29 07:47:09.584662+00:00,2018-03-29 09:00:00+00:00
EL425,Maintenance,2018-03-29 03:55:00+00:00,2018-03-29 08:12:07.606500+00:00,2018-03-29 10:00:00+00:00
EL708,Under Investigation,2018-03-29 03:45:00+00:00,2018-03-29 04:51:09.287948+00:00,2018-03-29 12:00:00+00:00
EL132,Inspection,2018-03-29 04:01:00+00:00,2018-03-29 07:56:07.986426+00:00,2018-03-29 10:00:00+00:00
EL192,Maintenance,2018-03-29 03:55:00+00:00,2018-03-29 09:16:08.448400+00:00,2018-03-29 10:00:00+00:00
EL232,Maintenance,2018-03-29 03:50:00+00:00,2018-03-29 08:22:08.351036+00:00,2018-03-29 10:00:00+00:00
EL277,Maintenance,2018-03-29 03:47:00+00:00,2018-03-29 09:07:09.013248+00:00,2018-03-29 10:00:00+00:00
EL183,Maintenance,2018-03-29 03:40:00+00:00,2018-03-29 08:38:09.647734+00:00,2018-03-29 10:00:00+00:00
EL230,Inspection,2018-03-29 03:38:00+00:00,2018-03-29 08:20:08.368305+00:00,2018-03-29 10:00:00+00:00
