station,mta_id,location
Atlantic Av-Barclays Ctr - (ID: 9),EL305,"MEZZANINE TO 4, 5 PLATFORM"
96 St - (ID: 42),EL145,STREET TO DOWNTOWN PLATFORM
34 St - Herald Sq - (ID: 22),EL213,STREET TO MEZZANINE
Chambers St - (ID: 41),EL336,STREET TO MEZZANINE
Broadway-Lafayette/Bleecker St - (ID: 40),EL328,STREET TO MEZZANINE AND DOWNTOWN 6 PLATFORM
Franklin Av - (ID: 31),EL340,UPTOWN PLATFORM TO 1ST LEVEL BRIDGE
57 St - 7 Av - (ID: 39),EL281,MEZZANINE TO STREET
Lexington Av / 63 St - (ID: 17),EL442,MEZZANINE TO PLATFORMS
34 St - Herald Sq - (ID: 22),EL209,MEZZANINE TO DOWNTOWN
Simpson St - (ID: 38),EL127,STREET TO UPTOWN PLATFORM
Prospect Park - (ID: 37),EL383,STREET TO DOWNTOWN PLATFORM
14 St - Union Sq - (ID: 36),EL217,STREET TO MEZZANINE
Jay St - Metrotech - (ID: 16),EL709,MEZZANINE TO PLATFORM
Atlantic Av-Barclays Ctr - (ID: 9),EL306,"UPTOWN 2, 3 PLATFORM TO MEZZANINE"
Kings Highway - (ID: 35),EL760,STREET TO UPTOWN PLATFORM
Flatbush Av Brooklyn College - (ID: 34),EL319,STREET TO PLATFORMS
Brooklyn Bridge - City Hall - (ID: 33),EL315,MEZZANINE TO DOWNTOWN
Euclid Av - (ID: 32),EL342,MEZZANINE TO UPTOWN
Franklin Av - (ID: 31),EL339,STREET TO DOWNTOWN C PLATFORM AND S PLATFORM
Flushing Av - (ID: 26),EL393,STREET TO MEZZANINE
191 St - (ID: 28),EL105,LOWER MEZZANINE TO UPPER MEZZANINE
Jamaica Center Parsons/Archer - (ID: 30),EL413,MEZZANINE TO PLATFORMS
Church Av - (ID: 25),EL321,STREET TO DOWNTOWN PLATFORM
59 St - Columbus Cir - (ID: 29),EL276X,STREET TO MEZZANINE ALL TRAINS
191 St - (ID: 28),EL103,STREET TO MEZZANINE / MEZZANINE TO PLATFORM
125 St - (ID: 27),EL125,STREET TO MEZZANINE
Lexington Av / 63 St - (ID: 17),EL440,MEZZANINE TO UPPER SOUTHBOUND PLATFORM TO LOWER NORTHBOUND PLATFORM
Jackson Hts - Roosevelt Av - (ID: 14),EL421,MEZZANINE TO DOWNTOWN E/F/M/R
Fulton St - (ID: 13),EL720,CENTER ISLAND LOWER PLATFORM TO MEZZANINE
Fulton St - (ID: 13),EL716,3 LANDINGS
Flushing Av - (ID: 26),EL394,MEZZANINE TO DOWNTOWN
Church Av - (ID: 25),EL320,STREET TO UPTOWN PLATFORM
34 St - Penn - (ID: 7),EL216,MEZZANINE TO DOWNTOWN LOCAL PLATFORM
207 St - Inwood - (ID: 24),EL148,STREET TO MEZZANINE
181 St - (ID: 5),EL110,LOWER MEZZANINE TO UPPER MEZZANINE
161 St - Yankee Stadium - (ID: 3),EL133,MEZZANINES TO DOWNTOWN 4 PLATFORM
14 St - (ID: 23),EL218,MEZZANINE TO L PLATFORM
Lexington Av / 63 St - (ID: 17),EL441,MEZZANINE TO PLATFORMS
34 St - Herald Sq - (ID: 22),EL200X,STREET TO PATH TRAIN
Times Sq - 42 St - (ID: 18),EL229,MEZZANINE TO DOWNTOWN
Flushing Main St - (ID: 21),EL414,STREET TO MEZZANINE &PLATFORMS;
51 St - (ID: 20),EL202,DOWNTOWN PLATFORM TO PASSAGEWAY
