elevator,reason,out_of_service,first_missed,estimated_return
EL342,Under Investigation,2018-02-22 15:32:00+00:00,2018-02-22 19:31:06.949372+00:00,2018-02-24 16:00:00+00:00
EL702,Maintenance,2018-02-24 07:25:00+00:00,2018-02-24 09:47:07.064175+00:00,2018-02-24 18:00:00+00:00
EL413,Under Investigation,2018-02-24 05:25:00+00:00,2018-02-24 08:51:07.069749+00:00,2018-02-24 18:00:00+00:00
EL103,Repair,2018-02-24 05:05:00+00:00,2018-02-24 06:25:08.598710+00:00,2018-02-24 18:00:00+00:00
EL216,Maintenance,2018-02-24 06:39:00+00:00,2018-02-24 09:39:06.314765+00:00,2018-02-24 19:00:00+00:00
EL324,Under Investigation,2018-02-24 06:32:00+00:00,2018-02-24 07:57:07.925960+00:00,2018-02-24 19:00:00+00:00
EL215,Maintenance,2018-02-24 06:39:00+00:00,2018-02-24 09:39:06.314765+00:00,2018-02-24 19:00:00+00:00
EL111,Maintenance,2018-02-24 06:25:00+00:00,2018-02-24 10:54:06.946875+00:00,2018-02-24 19:00:00+00:00
EL129,Repair,2018-02-23 19:30:00+00:00,2018-02-23 20:57:07.702396+00:00,2018-02-24 20:00:00+00:00
EL291X,Repair,2018-02-23 15:00:00+00:00,2018-02-25 17:19:06.971359+00:00,2018-02-24 20:00:00+00:00
EL314,Under Investigation,2018-02-22 19:50:00+00:00,2018-02-23 15:04:08.227975+00:00,2018-02-24 20:00:00+00:00
EL309,Repair,2018-02-24 20:14:00+00:00,2018-02-24 22:15:06.299249+00:00,2018-02-24 21:00:00+00:00
EL720,Inspection,2018-02-24 08:35:00+00:00,2018-02-24 09:02:08.085120+00:00,2018-02-24 21:00:00+00:00
EL311,Repair,2018-02-23 20:21:00+00:00,2018-02-24 02:52:08.438131+00:00,2018-02-24 21:00:00+00:00
EL109,Under Investigation,2018-02-23 21:02:00+00:00,2018-02-23 22:58:08.163808+00:00,2018-02-24 22:00:00+00:00
EL124,Repair,2018-02-22 21:29:00+00:00,2018-02-23 17:55:06.575141+00:00,2018-02-24 22:00:00+00:00
EL722,Repair,2018-02-22 23:07:00+00:00,2018-02-23 01:08:07.588033+00:00,2018-02-25 00:00:00+00:00
EL103,Maintenance,2018-02-24 13:25:00+00:00,2018-02-25 00:36:07.772729+00:00,2018-02-25 01:00:00+00:00
