station,mta_id,location,out_of_service,first_missed,estimated_return,outage_hours
Fordham Rd - (ID: 96),EL187,MEZZANINE TO UPTOWN,2018-03-31T12:35:00.000Z,2018-03-31T13:34:08.988Z,2018-03-31T21:00:00.000Z,0.98583
Bowling Green - (ID: 71),EL710,STREET TO MEZZANINE & UPTOWN PLATFORM,2018-03-31T10:53:00.000Z,2018-03-31T12:47:09.266Z,2018-03-31T19:00:00.000Z,1.9025738888888888
Kings Highway - (ID: 35),EL761,STREET TO DOWNTOWN PLATFORM,2018-03-31T08:44:00.000Z,2018-03-31T16:03:08.099Z,2018-03-31T16:00:00.000Z,7.318916388888889
14 St - (ID: 2),EL223,MEZZANINE TO UPTOWN A/C&E  PLATFORM,2018-03-31T05:45:00.000Z,2018-03-31T08:29:08.885Z,2018-03-31T10:00:00.000Z,2.735801388888889
191 St - (ID: 28),EL104,STREET TO MEZZANINE / MEZZANINE TO PLATFORM,2018-03-31T05:27:00.000Z,2018-03-31T07:19:09.659Z,2018-03-31T13:00:00.000Z,1.8693497222222222
Jamaica Center Parsons/Archer - (ID: 30),EL413,MEZZANINE TO PLATFORMS,2018-03-31T05:20:00.000Z,2018-04-01T00:39:08.497Z,2018-03-31T14:00:00.000Z,19.319026944444445
14 St - (ID: 2),EL222,MEZZANINE TO DOWNTOWN A/C&E  PLATFORM,2018-03-31T04:33:00.000Z,2018-03-31T05:43:08.592Z,2018-03-31T10:00:00.000Z,1.1690533333333333
Queens Plaza - (ID: 84),EL430,MEZZANINE TO UPTOWN,2018-03-31T03:45:00.000Z,2018-03-31T08:04:09.425Z,2018-03-31T10:00:00.000Z,4.319284722222222
West 4 St - Washington Sq - (ID: 55),EL335,MIDDLE MEZZANINE TO UPTOWN PLATFORMS,2018-03-31T03:55:00.000Z,2018-03-31T09:17:08.993Z,2018-03-31T10:00:00.000Z,5.369164722222222
Junction Blvd - (ID: 73),EL425,STREET TO MEZZANINE & OVERPASS,2018-03-31T03:48:00.000Z,2018-03-31T09:16:09.610Z,2018-03-31T09:00:00.000Z,5.469336111111111
14 St - (ID: 2),EL221,STREET TO MEZZANINE,2018-03-31T03:50:00.000Z,2018-03-31T04:34:08.712Z,2018-03-31T10:00:00.000Z,0.7357533333333334
Jackson Hts - Roosevelt Av - (ID: 14),EL420,MIDDLE MEZZANINE TO STREET TO IRT MEZZANINE TO NORTHBOUND IRT PLATFORM(7),2018-03-31T03:43:00.000Z,2018-03-31T08:30:06.893Z,2018-03-31T10:00:00.000Z,4.785248055555556
8 Av - (ID: 91),EL224,MEZZANINE TO PLATFORM,2018-03-31T03:20:00.000Z,2018-03-31T09:11:09.124Z,2018-03-31T10:00:00.000Z,5.852534444444444
181 St - (ID: 5),EL110,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-31T03:26:00.000Z,2018-03-31T05:07:08.426Z,2018-03-31T12:00:00.000Z,1.685673888888889
42 St - Grand Central - (ID: 49),EL204,STREET TO TERMINAL/MEZZANINE,2018-03-31T02:46:00.000Z,2018-03-31T06:01:08.402Z,2018-03-31T10:00:00.000Z,3.252333888888889
125 St - (ID: 1),EL142,STREET TO MEZZANINE,2018-03-31T02:59:00.000Z,2018-03-31T05:43:08.592Z,2018-03-31T11:00:00.000Z,2.73572
191 St - (ID: 28),EL104,STREET TO MEZZANINE / MEZZANINE TO PLATFORM,2018-03-31T01:56:00.000Z,2018-03-31T04:46:09.627Z,2018-03-31T10:00:00.000Z,2.8360075
181 St - (ID: 5),EL107,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-31T01:31:00.000Z,2018-04-01T09:03:11.023Z,2018-03-31T10:00:00.000Z,31.53639527777778
34 St - Hudson Yards - (ID: 52),EL602,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-31T00:22:00.000Z,2018-03-31T02:17:08.467Z,2018-03-31T09:00:00.000Z,1.919018611111111
Pelham Pkwy - (ID: 90),EL137,MEZZANINE TO SOUTHBOUND PLATFORM,2018-03-31T00:11:00.000Z,2018-03-31T06:07:08.546Z,2018-03-31T09:00:00.000Z,5.935707222222222
191 St - (ID: 28),EL104,STREET TO MEZZANINE / MEZZANINE TO PLATFORM,2018-03-30T23:47:00.000Z,2018-03-31T02:23:08.819Z,2018-03-31T08:00:00.000Z,2.6024497222222225
Junction Blvd - (ID: 73),EL425,STREET TO MEZZANINE & OVERPASS,2018-03-30T23:12:00.000Z,2018-03-31T00:05:08.580Z,2018-03-31T04:00:00.000Z,0.8857166666666667
125 St - (ID: 27),EL125,STREET TO MEZZANINE,2018-03-30T22:39:00.000Z,2018-03-31T00:15:07.270Z,2018-03-31T07:00:00.000Z,1.6020194444444444
Myrtle Av / Wyckoff Av - (ID: 76),EL397,MEZZANINE TO PLATFORM,2018-03-30T22:33:00.000Z,2018-03-31T02:45:07.092Z,2018-03-31T07:00:00.000Z,4.20197
42 St - Grand Central - (ID: 49),EL204,STREET TO TERMINAL/MEZZANINE,2018-03-30T22:17:00.000Z,2018-03-30T22:34:09.010Z,2018-03-31T07:00:00.000Z,0.2858361111111111
34 St - Hudson Yards - (ID: 52),EL601,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-30T21:25:00.000Z,2018-03-30T23:36:08.256Z,2018-03-31T06:00:00.000Z,2.1856266666666664
161 St - Yankee Stadium - (ID: 3),EL135,MEZZANINE TO UPTOWN B/ D,2018-03-30T21:27:00.000Z,2018-03-31T00:27:08.278Z,2018-03-31T06:00:00.000Z,3.0022994444444446
Lexington Av / 63 St - (ID: 17),EL401,STREET TO MEZZANINE,2018-03-30T21:06:00.000Z,2018-03-30T21:21:08.160Z,2018-03-31T06:00:00.000Z,0.25226666666666664
Fulton St - (ID: 13),EL716,3 LANDINGS,2018-03-30T20:45:00.000Z,2018-03-30T22:25:08.597Z,2018-03-31T04:00:00.000Z,1.669054722222222
59 St - Columbus Cir - (ID: 29),EL277,MEZZANINE AND DOWNTOWN,2018-03-30T20:12:00.000Z,2018-03-30T22:04:08.649Z,2018-03-31T05:00:00.000Z,1.8690691666666668
Clark St - (ID: 10),EL311,LOWER MEZZANINE TO STREET,2018-03-30T19:55:00.000Z,2018-03-30T23:07:08.064Z,2018-03-31T04:00:00.000Z,3.20224
42 St - Grand Central - (ID: 49),EL204,STREET TO TERMINAL/MEZZANINE,2018-03-30T19:55:00.000Z,2018-03-30T22:17:09.287Z,2018-03-31T04:00:00.000Z,2.369246388888889
Euclid Av - (ID: 32),EL341,STREET TO MEZZANINE,2018-03-30T19:49:00.000Z,2018-03-31T09:26:09.084Z,2018-03-31T04:00:00.000Z,13.619190000000001
51 St - (ID: 20),EL202,DOWNTOWN PLATFORM TO PASSAGEWAY,2018-03-30T19:35:00.000Z,2018-03-30T23:18:08.601Z,2018-03-31T04:00:00.000Z,3.7190558333333334
191 St - (ID: 28),EL103,STREET TO MEZZANINE / MEZZANINE TO PLATFORM,2018-03-30T19:30:00.000Z,2018-03-30T23:17:09.432Z,2018-03-31T04:00:00.000Z,3.7859533333333335
34 St - Penn - (ID: 53),EL225,STREET TO UPTOWN LOCAL PLATFORM,2018-03-30T18:35:00.000Z,2018-03-30T19:02:08.550Z,2018-03-31T02:00:00.000Z,0.45237499999999997
34 St - Penn - (ID: 7),EL216,MEZZANINE TO DOWNTOWN LOCAL PLATFORM,2018-03-30T17:35:00.000Z,2018-03-30T18:58:09.776Z,2018-03-31T00:00:00.000Z,1.3860488888888889
Broadway-Lafayette/Bleecker St - (ID: 40),EL329,DOWNTOWN 6 MEZZANINE TO DOWNTOWN B/D/F/M PLATFORM,2018-03-30T17:06:00.000Z,2018-03-30T17:37:09.598Z,2018-03-31T02:00:00.000Z,0.5193327777777778
Utica Av - (ID: 77),EL344,STREET TO MEZZANINE,2018-03-30T16:42:00.000Z,2018-03-30T20:51:08.684Z,2018-03-31T01:00:00.000Z,4.152412222222222
149 St - 3 Av - (ID: 45),EL129,STREET TO UPTOWN PLATFORM,2018-03-30T16:45:00.000Z,2018-03-31T09:33:08.996Z,2018-03-31T01:00:00.000Z,16.802498888888888
34 St - Herald Sq - (ID: 22),EL213,STREET TO MEZZANINE,2018-03-30T16:28:00.000Z,2018-03-30T20:06:09.028Z,2018-03-31T01:00:00.000Z,3.635841111111111
125 St - (ID: 27),EL126,MEZZANINE TO UPTOWN AND DOWNTOWN PLATFORMS,2018-03-30T15:35:00.000Z,2018-03-30T17:39:08.762Z,2018-03-31T00:00:00.000Z,2.0691005555555555
Atlantic Av-Barclays Ctr - (ID: 8),EL301,STREET TO MEZZANINE,2018-03-30T15:55:00.000Z,2018-03-30T18:34:08.929Z,2018-03-30T20:00:00.000Z,2.652480277777778
181 St - (ID: 58),EL119,LOWER MEZZANINE TO STREET,2018-03-30T15:50:00.000Z,2018-03-30T20:32:08.529Z,2018-03-31T00:00:00.000Z,4.702369166666666
Lexington Av / 63 St - (ID: 17),EL443,MEZZANINE TO PLATFORMS,2018-03-30T15:40:00.000Z,2018-03-30T16:52:08.566Z,2018-03-31T00:00:00.000Z,1.2023794444444442
South Ferry - (ID: 93),EL730,STREET TO MEZZANINE,2018-03-30T15:35:00.000Z,2018-03-30T16:02:08.441Z,2018-03-30T22:00:00.000Z,0.4523447222222223
191 St - (ID: 28),EL104,STREET TO MEZZANINE / MEZZANINE TO PLATFORM,2018-03-30T14:13:00.000Z,2018-03-30T15:40:07.992Z,2018-03-30T23:00:00.000Z,1.45222
Times Sq - 42 St - (ID: 18),EL232,MEZZANINE TO DOWNTOWN PLATFORM & 7 PLATFORM,2018-03-30T14:10:00.000Z,2018-03-30T18:33:09.239Z,2018-03-30T19:00:00.000Z,4.385899722222222
Broadway-Lafayette/Bleecker St - (ID: 40),EL330,DOWNTOWN 6 MEZZANINE TO UPTOWN B/D/F/M PLATFORM,2018-03-30T14:00:00.000Z,2018-03-30T23:02:09.723Z,2018-03-30T22:00:00.000Z,9.036034166666667
Flatbush Av Brooklyn College - (ID: 34),EL319,STREET TO PLATFORMS,2018-03-30T13:35:00.000Z,2018-03-30T19:08:09.704Z,2018-03-30T22:00:00.000Z,5.552695555555556
Flushing Main St - (ID: 21),EL414,STREET TO MEZZANINE &PLATFORMS ,2018-03-30T13:30:00.000Z,2018-03-30T17:53:08.609Z,2018-03-30T22:00:00.000Z,4.385724722222222
Atlantic Av-Barclays Ctr - (ID: 8),EL303,MEZZANINE TO UPTOWN,2018-03-30T13:00:00.000Z,2018-03-30T15:58:08.395Z,2018-03-30T21:00:00.000Z,2.968998611111111
